['blue', 0.9570000000000001, 0.8835, '0.082192', '-0.012048', '0.012658', 2.345, '71.000000']
['board', 0.9649999999999999, 0.9245000000000001, '0.275862', '-0.270000', '-0.081081', 1.9899999999999998, '84.000000']
['body', 0.9560000000000001, 0.8910000000000002, '0.169014', '-0.147368', '0.092105', 2.0425, '87.000000']
['book', 0.9605, 0.9235000000000001, '0.111111', '-0.161290', '0.087500', 2.175, '84.000000']
['born', 0.9735000000000003, 0.9245000000000001, '0.123288', '-0.134021', '0.219178', 3.585, '75.000000']
['both', 0.944, 0.9190000000000002, '0.673077', '-0.150000', '0.276923', 2.7100000000000004, '84.000000']
['box', 0.9595, 0.9369999999999999, '0.148649', '-0.191919', '0.129412', 0.9166666666666666, '73.000000']
['boy', 0.9605, 0.9329999999999998, '0.072464', '-0.111111', '-0.063291', 1.6133333333333333, '94.000000']
['break', 0.9610000000000001, 0.8865000000000001, '0.800000', '-0.230000', '0.172414', 1.888, '65.000000']
['bring', 0.959, 0.9225000000000001, '0.000000', '-0.052632', '-0.087912', 3.472, '61.000000']
['brother', 0.946, 0.9059999999999999, '0.014286', '-0.180000', '0.112676', 2.8785714285714286, '82.000000']
['budget', 0.9380000000000001, 0.9275000000000002, '0.108108', '-0.580000', '0.024390', 2.42, '73.000000']
['build', 0.96, 0.9404999999999999, '0.212121', '-0.166667', '-0.048193', 2.966, '70.000000']
['building', 0.9599999999999997, 0.9404999999999999, '0.359375', '-0.110000', '0.048193', 3.3024999999999998, '77.000000']
['business', 0.9189999999999999, 0.8919999999999998, '0.462687', '-0.060000', '0.059524', 3.55875, '74.000000']
['but', 0.916, 0.9045, '0.132353', '-0.210000', '0.065789', 2.813333333333334, '80.000000']
['buy', 0.9345000000000001, 0.9015000000000001, '0.043478', '-0.054945', '0.093333', 1.25, '65.000000']
['by', 0.9369999999999999, 0.8979999999999999, '0.202532', '-0.090909', '0.079545', 1.495, '88.000000']
['call', 0.961, 0.9229999999999998, '0.148148', '0.000000', '0.107143', 2.075, '77.000000']
['camera', 0.9705, 0.925, '0.050000', '-0.074468', '0.011628', 0.9050000000000001, '87.000000']
['campaign', 0.9335000000000001, 0.859, '0.444444', '0.000000', '0.617021', 1.6712500000000001, '67.000000']
['can', 0.9305, 0.9129999999999999, '0.014706', '-0.125000', '0.012987', 1.5733333333333333, '69.000000']
['cancer', 0.9700000000000001, 0.9470000000000001, '0.516667', '-0.260000', '0.027778', 1.5266666666666666, '62.000000']
['candidate', 0.9285, 0.8465000000000001, '0.684211', '-0.690000', '0.225806', 2.3800000000000003, '90.000000']
['capital', 0.9605, 0.9295, '0.213333', '-0.040000', '0.035294', 1.9157142857142857, '65.000000']
